Código IBGE;Ano;Município;Masculino;Feminino;Ignorado;Nascidos vivos;População 2021
3541604;2021;Promissão;179;171;0;350;40.001
3541653;2021;Quadra;27;15;0;42;3.745
3541703;2021;Quatá;78;72;0;150;14.025
3541802;2021;Queiroz;36;27;0;63;3.319
3541901;2021;Queluz;54;64;0;118;12.735
3542008;2021;Quintana;35;63;0;98;6.539
3542107;2021;Rafard;65;55;0;120;9.014
3542206;2021;Rancharia;150;163;0;313;28.855
3542305;2021;Redenção da Serra;24;20;0;44;3.834
3542404;2021;Regente Feijó;88;100;0;188;19.556
3542503;2021;Reginópolis;31;27;0;58;7.204
3542602;2021;Registro;402;372;0;774;54.270
3542701;2021;Restinga;61;37;0;98;7.575
3542800;2021;Ribeira;23;21;0;44;3.240
3542909;2021;Ribeirão Bonito;66;53;0;119;13.033
3543006;2021;Ribeirão Branco;165;115;0;280;17.683
3543105;2021;Ribeirão Corrente;19;33;0;52;4.698
3543204;2021;Ribeirão do Sul;30;27;0;57;4.351
3543238;2021;Ribeirão dos Índios;12;4;0;16;2.135
3543253;2021;Ribeirão Grande;38;54;0;92;7.515
3543303;2021;Ribeirão Pires;561;519;0;1.080;119.339
3543402;2021;Ribeirão Preto;3.890;3.831;0;7.721;688.894
3543501;2021;Riversul;30;27;0;57;5.686
3543600;2021;Rifaina;20;25;0;45;3.470
3543709;2021;Rincão;51;61;0;112;10.506
3543808;2021;Rinópolis;40;41;0;81;9.700
3543907;2021;Rio Claro;1.099;1.165;0;2.264;202.289
3544004;2021;Rio das Pedras;180;186;0;366;34.768
3544103;2021;Rio Grande da Serra;263;250;0;513;50.313
3544202;2021;Riolândia;63;60;0;123;11.501
3544251;2021;Rosana;101;90;0;191;18.320
3544301;2021;Roseira;47;49;0;96;10.723
3544400;2021;Rubiácea;15;15;0;30;3.138
3544509;2021;Rubinéia;17;11;0;28;2.996
3544608;2021;Sabino;30;16;0;46;5.485
3544707;2021;Sagres;17;11;0;28;2.362
3544806;2021;Sales;13;20;0;33;6.082
3544905;2021;Sales Oliveira;46;60;0;106;11.580
3545001;2021;Salesópolis;124;112;0;236;16.945
3545100;2021;Salmourão;22;29;0;51;5.138
3545159;2021;Saltinho;35;50;0;85;7.898
3545209;2021;Salto;820;800;0;1.620;116.089
3545308;2021;Salto de Pirapora;237;218;0;455;44.522
3545407;2021;Salto Grande;55;63;0;118;9.125
3545506;2021;Sandovalina;24;18;0;42;4.257
3545605;2021;Santa Adélia;82;69;0;151;14.929
3545704;2021;Santa Albertina;38;32;0;70;5.657
