"Localidades";"Períodos";"Taxa de Natalidade (Por mil habitantes)";"Cód. IBGE"
"Santa Bárbara d'Oeste";"2017";"12,77";3545803
"Santa Bárbara d'Oeste";"2018";"12,61";3545803
"Santa Bárbara d'Oeste";"2019";"";3545803
"Santa Bárbara d'Oeste";"2020";"";3545803
"Santo Antônio de Posse";"1980";"27,99";3548005
"Santo Antônio de Posse";"1981";"29,7";3548005
"Santo Antônio de Posse";"1982";"29,72";3548005
"Santo Antônio de Posse";"1983";"29,65";3548005
"Santo Antônio de Posse";"1984";"25,49";3548005
"Santo Antônio de Posse";"1985";"26,15";3548005
"Santo Antônio de Posse";"1986";"24,71";3548005
"Santo Antônio de Posse";"1987";"20,62";3548005
"Santo Antônio de Posse";"1988";"25,39";3548005
"Santo Antônio de Posse";"1989";"24,63";3548005
"Santo Antônio de Posse";"1990";"16,94";3548005
"Santo Antônio de Posse";"1991";"20,25";3548005
"Santo Antônio de Posse";"1992";"19,49";3548005
"Santo Antônio de Posse";"1993";"19,39";3548005
"Santo Antônio de Posse";"1994";"18,74";3548005
"Santo Antônio de Posse";"1995";"15,44";3548005
"Santo Antônio de Posse";"1996";"17,84";3548005
"Santo Antônio de Posse";"1997";"18,24";3548005
"Santo Antônio de Posse";"1998";"17,84";3548005
"Santo Antônio de Posse";"1999";"16,64";3548005
"Santo Antônio de Posse";"2000";"18,42";3548005
"Santo Antônio de Posse";"2001";"16,07";3548005
"Santo Antônio de Posse";"2002";"17,23";3548005
"Santo Antônio de Posse";"2003";"14,87";3548005
"Santo Antônio de Posse";"2004";"15,35";3548005
"Santo Antônio de Posse";"2005";"14,22";3548005
"Santo Antônio de Posse";"2006";"14,35";3548005
"Santo Antônio de Posse";"2007";"13,88";3548005
"Santo Antônio de Posse";"2008";"13,73";3548005
"Santo Antônio de Posse";"2009";"15,72";3548005
"Santo Antônio de Posse";"2010";"13,48";3548005
"Santo Antônio de Posse";"2011";"14,14";3548005
"Santo Antônio de Posse";"2012";"12,33";3548005
"Santo Antônio de Posse";"2013";"13,32";3548005
"Santo Antônio de Posse";"2014";"13,73";3548005
"Santo Antônio de Posse";"2015";"13,76";3548005
"Santo Antônio de Posse";"2016";"12,18";3548005
"Santo Antônio de Posse";"2017";"11,93";3548005
"Santo Antônio de Posse";"2018";"13,29";3548005
"Santo Antônio de Posse";"2019";"";3548005
"Santo Antônio de Posse";"2020";"";3548005
"Sumaré";"1980";"22,49";3552403
"Sumaré";"1981";"21,22";3552403
"Sumaré";"1982";"22,59";3552403
"Sumaré";"1983";"21,21";3552403
"Sumaré";"1984";"20,05";3552403
"Sumaré";"1985";"18,46";3552403
"Sumaré";"1986";"19,19";3552403
"Sumaré";"1987";"19,21";3552403
"Sumaré";"1988";"20,46";3552403
"Sumaré";"1989";"23";3552403
"Sumaré";"1990";"20,89";3552403
"Sumaré";"1991";"20,6";3552403
"Sumaré";"1992";"20,51";3552403
"Sumaré";"1993";"23,61";3552403
"Sumaré";"1994";"21,6";3552403
"Sumaré";"1995";"20,41";3552403
"Sumaré";"1996";"19,6";3552403
"Sumaré";"1997";"18,27";3552403
"Sumaré";"1998";"19,11";3552403
"Sumaré";"1999";"18,55";3552403
"Sumaré";"2000";"17,97";3552403
"Sumaré";"2001";"16,05";3552403
"Sumaré";"2002";"16,44";3552403
"Sumaré";"2003";"15,99";3552403
"Sumaré";"2004";"15,35";3552403
"Sumaré";"2005";"15,76";3552403
"Sumaré";"2006";"15,7";3552403
"Sumaré";"2007";"15,37";3552403
"Sumaré";"2008";"15,5";3552403
"Sumaré";"2009";"15,15";3552403
"Sumaré";"2010";"15,4";3552403
"Sumaré";"2011";"15,24";3552403
"Sumaré";"2012";"15,5";3552403
"Sumaré";"2013";"15,1";3552403
"Sumaré";"2014";"14,95";3552403
"Sumaré";"2015";"15,15";3552403
"Sumaré";"2016";"14,27";3552403
"Sumaré";"2017";"14,88";3552403
"Sumaré";"2018";"14,03";3552403
"Sumaré";"2019";"";3552403
"Sumaré";"2020";"";3552403
"Valinhos";"1980";"22,62";3556206
"Valinhos";"1981";"23,05";3556206
"Valinhos";"1982";"24,44";3556206
"Valinhos";"1983";"22,73";3556206
"Valinhos";"1984";"21,73";3556206
"Valinhos";"1985";"21,72";3556206
"Valinhos";"1986";"21,44";3556206
"Valinhos";"1987";"20,32";3556206
"Valinhos";"1988";"20,26";3556206
"Valinhos";"1989";"19,93";3556206
"Valinhos";"1990";"18,4";3556206
"Valinhos";"1991";"16,23";3556206
"Valinhos";"1992";"16,63";3556206
"Valinhos";"1993";"17,64";3556206
"Valinhos";"1994";"16,33";3556206
"Valinhos";"1995";"15,81";3556206
"Valinhos";"1996";"16,59";3556206
"Valinhos";"1997";"16,39";3556206
"Valinhos";"1998";"16,26";3556206
"Valinhos";"1999";"15,66";3556206
"Valinhos";"2000";"15,25";3556206
"Valinhos";"2001";"13,46";3556206
"Valinhos";"2002";"13,8";3556206
"Valinhos";"2003";"12,8";3556206
"Valinhos";"2004";"14,18";3556206
"Valinhos";"2005";"12,48";3556206
"Valinhos";"2006";"13,28";3556206
"Valinhos";"2007";"12,89";3556206
"Valinhos";"2008";"12,68";3556206
"Valinhos";"2009";"11,73";3556206
"Valinhos";"2010";"12,25";3556206
"Valinhos";"2011";"11,98";3556206
"Valinhos";"2012";"12,05";3556206
"Valinhos";"2013";"12";3556206
"Valinhos";"2014";"12,14";3556206
"Valinhos";"2015";"12,87";3556206
"Valinhos";"2016";"11,48";3556206
"Valinhos";"2017";"11,51";3556206
"Valinhos";"2018";"11,78";3556206
"Valinhos";"2019";"";3556206
"Valinhos";"2020";"";3556206
"Vinhedo";"1980";"25,64";3556701
"Vinhedo";"1981";"29,56";3556701
"Vinhedo";"1982";"29,66";3556701
"Vinhedo";"1983";"29,06";3556701
"Vinhedo";"1984";"25,02";3556701
"Vinhedo";"1985";"24,95";3556701
"Vinhedo";"1986";"22,73";3556701
"Vinhedo";"1987";"23,49";3556701
"Vinhedo";"1988";"21,17";3556701
"Vinhedo";"1989";"20,74";3556701
"Vinhedo";"1990";"20,1";3556701
"Vinhedo";"1991";"18,92";3556701
"Vinhedo";"1992";"18,78";3556701
"Vinhedo";"1993";"20,21";3556701
"Vinhedo";"1994";"19,03";3556701
"Vinhedo";"1995";"17,81";3556701
"Vinhedo";"1996";"17,11";3556701
"Vinhedo";"1997";"17,76";3556701
"Vinhedo";"1998";"18,01";3556701
"Vinhedo";"1999";"18,63";3556701
"Vinhedo";"2000";"17,27";3556701
"Vinhedo";"2001";"16,27";3556701
"Vinhedo";"2002";"15,01";3556701
"Vinhedo";"2003";"14,3";3556701
"Vinhedo";"2004";"14,26";3556701
"Vinhedo";"2005";"14,19";3556701
"Vinhedo";"2006";"14,59";3556701
"Vinhedo";"2007";"14,17";3556701
"Vinhedo";"2008";"14,12";3556701
"Vinhedo";"2009";"14,5";3556701
"Vinhedo";"2010";"14,18";3556701
"Vinhedo";"2011";"13,85";3556701
"Vinhedo";"2012";"14,05";3556701
"Vinhedo";"2013";"14,12";3556701
"Vinhedo";"2014";"13,52";3556701
"Vinhedo";"2015";"13,02";3556701
"Vinhedo";"2016";"12,44";3556701
"Vinhedo";"2017";"12,81";3556701
"Vinhedo";"2018";"12,09";3556701
"Vinhedo";"2019";"";3556701
"Vinhedo";"2020";"";3556701
